elapsed_s,allocated_gb,reserved_gb,phase
0.0,0.0,0.0,init
0.5,0.0,0.0,model_load_cpu
1.01,0.0,0.0,model_load_cpu
1.51,0.0,0.0,model_load_cpu
2.01,0.0,0.0,model_load_cpu
2.51,0.0,0.0,model_load_cpu
3.02,0.0,0.0,model_load_cpu
3.52,0.0,0.0,model_load_cpu
4.02,0.0,0.0,model_load_cpu
4.52,0.0,0.0,model_load_cpu
5.05,0.0,0.0,model_load_cpu
5.55,0.0,0.0,model_load_cpu
6.05,0.0,0.0,model_load_cpu
6.55,0.0,0.0,model_load_cpu
7.14,0.0,0.0,model_load_cpu
7.64,0.0,0.0,model_load_cpu
8.14,0.0,0.0,model_load_cpu
8.65,0.0,0.0,model_load_cpu
9.2,0.0,0.0,model_load_cpu
9.7,0.0,0.0,model_load_cpu
10.2,0.0,0.0,model_load_cpu
10.71,0.0,0.0,model_load_cpu
11.21,0.0,0.0,model_load_cpu
11.71,0.0,0.0,model_load_cpu
11.72,0.0,0.0,model_load_cpu
12.22,0.0,0.0,model_load_cpu
12.72,0.0,0.0,model_load_cpu
13.23,0.0,0.0,model_load_cpu
13.73,0.0,0.0,model_to_cuda
14.23,0.361,0.373,model_to_cuda
14.73,0.738,0.764,model_to_cuda
15.23,0.825,0.844,model_to_cuda
15.73,0.9,0.92,model_to_cuda
16.23,1.01,1.031,model_to_cuda
16.73,1.049,1.072,model_to_cuda
17.23,2.272,2.297,model_to_cuda
17.74,2.272,2.297,model_to_cuda
18.24,2.272,2.297,model_to_cuda
18.75,2.272,2.297,model_to_cuda
19.25,2.272,2.297,model_to_cuda
19.75,2.272,2.297,model_to_cuda
20.25,2.272,2.297,model_to_cuda
20.75,2.272,2.297,model_to_cuda
21.25,2.272,2.297,model_to_cuda
21.75,2.272,2.297,model_to_cuda
22.25,2.272,2.297,model_to_cuda
22.76,2.272,2.297,model_to_cuda
23.26,2.272,2.297,model_to_cuda
23.76,2.272,2.297,model_to_cuda
24.26,2.35,2.379,model_to_cuda
24.76,2.444,2.473,model_to_cuda
25.26,2.632,2.66,model_to_cuda
25.76,2.71,2.742,model_to_cuda
26.26,2.803,2.836,model_to_cuda
26.76,2.897,2.93,model_to_cuda
27.26,3.022,3.055,model_to_cuda
27.76,3.163,3.199,model_to_cuda
28.26,3.257,3.293,model_to_cuda
28.77,3.35,3.387,model_to_cuda
29.27,3.522,3.562,model_to_cuda
29.77,3.616,3.656,model_to_cuda
30.27,3.741,3.781,model_to_cuda
30.77,3.882,3.926,model_to_cuda
31.27,3.975,4.02,model_to_cuda
31.77,4.069,4.113,model_to_cuda
32.27,4.147,4.195,model_to_cuda
32.78,4.335,4.383,model_to_cuda
33.28,4.335,4.383,model_to_cuda
33.78,4.507,4.559,model_to_cuda
34.28,4.6,4.652,model_to_cuda
34.78,4.694,4.746,model_to_cuda
35.28,4.819,4.871,model_to_cuda
35.78,5.054,5.109,model_to_cuda
36.28,5.319,5.379,model_to_cuda
36.78,5.585,5.648,model_to_cuda
37.28,5.866,5.93,model_to_cuda
37.79,6.132,6.199,model_to_cuda
38.29,6.397,6.469,model_to_cuda
38.79,6.616,6.688,model_to_cuda
39.29,6.757,6.832,model_to_cuda
39.79,6.975,7.051,model_to_cuda
40.29,7.21,7.289,model_to_cuda
40.79,7.343,7.434,model_to_cuda
41.29,7.569,7.652,model_to_cuda
41.79,7.71,7.797,model_to_cuda
42.29,7.929,8.016,model_to_cuda
42.8,8.061,8.16,model_to_cuda
43.3,8.288,8.379,model_to_cuda
43.8,8.554,8.648,model_to_cuda
44.3,8.913,9.012,model_to_cuda
44.8,9.179,9.281,model_to_cuda
45.3,9.46,9.562,model_to_cuda
45.8,9.819,9.926,model_to_cuda
46.3,10.085,10.195,model_to_cuda
46.8,10.351,10.465,model_to_cuda
47.3,10.71,10.828,model_to_cuda
47.8,11.069,11.191,model_to_cuda
48.3,11.163,11.285,model_to_cuda
48.8,11.163,11.285,model_to_cuda
49.3,11.335,11.461,model_to_cuda
49.8,11.523,11.648,model_to_cuda
50.3,11.655,11.793,model_to_cuda
50.8,11.882,12.012,model_to_cuda
51.3,12.007,12.137,model_to_cuda
51.8,12.148,12.281,model_to_cuda
52.3,12.335,12.469,model_to_cuda
52.81,12.507,12.645,model_to_cuda
53.31,12.694,12.832,model_to_cuda
53.81,12.866,13.008,model_to_cuda
54.31,12.96,13.102,model_to_cuda
54.81,13.226,13.371,model_to_cuda
55.31,13.445,13.59,model_to_cuda
55.81,13.679,13.828,model_to_cuda
56.31,13.773,13.922,model_to_cuda
56.81,13.945,14.098,model_to_cuda
57.31,14.132,14.285,model_to_cuda
57.81,14.304,14.461,model_to_cuda
58.31,14.491,14.648,model_to_cuda
58.82,14.757,14.918,model_to_cuda
59.32,14.898,15.062,model_to_cuda
59.82,15.116,15.281,model_to_cuda
60.32,16.398,16.564,model_to_cuda
60.82,16.398,16.564,model_to_cuda
61.33,16.398,16.564,model_to_cuda
61.83,16.398,16.564,model_to_cuda
62.33,16.398,16.564,model_to_cuda
62.83,16.398,16.564,model_to_cuda
63.33,16.516,16.684,model_to_cuda
63.84,16.838,17.008,model_to_cuda
64.34,17.247,17.418,model_to_cuda
64.84,17.601,17.775,model_to_cuda
65.34,17.986,18.166,model_to_cuda
65.84,18.371,18.557,model_to_cuda
66.34,18.607,18.795,model_to_cuda
66.84,18.875,19.066,model_to_cuda
67.34,19.134,19.324,model_to_cuda
67.85,19.433,19.629,model_to_cuda
68.35,19.669,19.867,model_to_cuda
68.85,19.904,20.105,model_to_cuda
69.35,20.14,20.344,model_to_cuda
69.85,20.408,20.615,model_to_cuda
70.35,20.612,20.82,model_to_cuda
