elapsed_s,allocated_gb,reserved_gb,phase
0.0,0.0,0.0,init
0.52,0.0,0.0,model_load
1.02,0.0,0.0,model_load
1.52,0.0,0.0,model_load
2.02,0.0,0.0,model_load
2.61,0.0,0.0,model_load
3.12,0.0,0.0,model_load
3.62,0.0,0.0,model_load
4.12,0.0,0.0,model_load
4.72,0.0,0.0,model_load
5.22,0.0,0.0,model_load
5.72,0.0,0.0,model_load
6.22,0.0,0.0,model_load
6.72,0.0,0.0,model_load
7.22,0.0,0.0,model_load
7.72,0.0,0.0,model_load
8.23,0.0,0.0,model_load
8.76,0.0,0.0,model_load
9.26,0.0,0.0,model_load
9.84,0.0,0.0,model_load
10.34,0.0,0.0,model_load
10.85,0.0,0.0,model_load
11.35,0.0,0.0,model_load
11.85,0.0,0.0,model_load
12.35,0.0,0.0,model_load
12.86,0.0,0.0,model_load
13.36,0.0,0.0,model_load
13.86,0.0,0.0,model_load
14.36,0.0,0.0,model_load
14.86,0.0,0.0,model_load
15.36,0.0,0.0,model_load
15.87,0.0,0.0,model_load
16.37,0.0,0.0,model_load
16.87,0.0,0.0,model_load
17.37,0.0,0.0,model_load
17.87,0.0,0.0,model_load
18.37,0.0,0.0,model_load
18.87,0.0,0.0,model_load
19.37,0.0,0.0,model_load
19.87,0.0,0.0,model_load
20.37,0.0,0.0,model_load
20.87,0.0,0.0,model_load
21.37,0.0,0.0,model_load
21.87,0.0,0.0,model_load
22.37,0.0,0.0,model_load
22.87,0.0,0.0,model_load
23.37,0.0,0.0,model_load
23.87,0.0,0.0,model_load
24.37,0.0,0.0,model_load
24.87,0.0,0.0,model_load
25.37,0.0,0.0,model_load
25.87,0.0,0.0,model_load
26.37,0.0,0.0,model_load
26.87,0.0,0.0,model_load
27.38,0.0,0.0,model_load
27.88,0.0,0.0,model_load
28.38,0.0,0.0,model_load
28.88,0.0,0.0,model_load
29.38,0.0,0.0,model_load
29.88,0.0,0.0,model_load
30.38,0.0,0.0,model_load
30.88,0.0,0.0,model_load
31.38,0.0,0.0,model_load
31.88,0.0,0.0,model_load
32.38,0.0,0.0,model_load
32.88,0.0,0.0,model_load
33.38,0.0,0.0,model_load
33.88,0.0,0.0,model_load
34.38,0.0,0.0,model_load
34.88,0.0,0.0,model_load
35.39,0.0,0.0,model_load
35.89,0.0,0.0,model_load
36.39,0.0,0.0,model_load
36.89,0.0,0.0,model_load
37.39,0.0,0.0,model_load
37.89,0.0,0.0,model_load
38.39,0.0,0.0,model_load
38.89,0.0,0.0,model_load
39.39,0.0,0.0,model_load
39.89,0.0,0.0,model_load
40.39,0.0,0.0,model_load
40.89,0.0,0.0,model_load
41.39,0.0,0.0,model_load
41.89,0.0,0.0,model_load
42.39,0.0,0.0,model_load
42.89,0.0,0.0,model_load
43.39,0.0,0.0,model_load
43.89,0.0,0.0,model_load
44.39,0.0,0.0,model_load
44.9,0.0,0.0,model_load
45.4,0.0,0.0,model_load
45.9,0.0,0.0,model_load
46.4,0.0,0.0,model_load
46.9,0.0,0.0,model_load
47.4,0.0,0.0,model_load
47.9,0.0,0.0,model_load
48.4,0.0,0.0,model_load
48.9,0.0,0.0,model_load
49.4,0.0,0.0,model_load
49.9,0.0,0.0,model_load
50.4,0.0,0.0,model_load
50.9,0.0,0.0,model_load
51.4,0.0,0.0,model_load
51.9,0.0,0.0,model_load
52.4,0.0,0.0,model_load
52.9,0.0,0.0,model_load
53.4,0.0,0.0,model_load
53.9,0.0,0.0,model_load
54.4,0.0,0.0,model_load
54.9,0.0,0.0,model_load
55.4,0.0,0.0,model_load
55.91,0.0,0.0,model_load
56.41,0.0,0.0,model_load
56.91,0.0,0.0,model_load
57.41,0.0,0.0,model_load
57.91,0.0,0.0,model_load
58.41,0.0,0.0,model_load
58.91,0.0,0.0,model_load
59.41,0.0,0.0,model_load
59.91,0.0,0.0,model_load
60.41,0.0,0.0,model_load
60.91,0.0,0.0,model_load
61.41,0.0,0.0,model_load
61.91,0.0,0.0,model_load
62.41,0.0,0.0,model_load
62.91,0.0,0.0,model_load
63.41,0.0,0.0,model_load
63.91,0.0,0.0,model_load
64.41,0.0,0.0,model_load
64.91,0.0,0.0,model_load
65.41,0.0,0.0,model_load
65.92,0.0,0.0,model_load
66.42,0.0,0.0,model_load
66.92,0.0,0.0,model_load
67.42,0.0,0.0,model_load
67.92,0.0,0.0,model_load
68.42,0.0,0.0,model_load
68.92,0.0,0.0,model_load
69.42,0.0,0.0,model_load
69.92,0.0,0.0,model_load
70.42,0.0,0.0,model_load
70.92,0.0,0.0,model_load
71.42,0.0,0.0,model_load
71.92,0.0,0.0,model_load
72.42,0.0,0.0,model_load
72.92,0.0,0.0,model_load
73.42,0.0,0.0,model_load
73.92,0.0,0.0,model_load
74.43,0.0,0.0,model_load
74.93,0.0,0.0,model_load
75.43,0.0,0.0,model_load
75.93,0.0,0.0,model_load
76.43,0.0,0.0,model_load
76.93,0.0,0.0,model_load
77.43,0.0,0.0,model_load
77.93,0.0,0.0,model_load
78.43,0.0,0.0,model_load
78.93,0.0,0.0,model_load
79.43,0.0,0.0,model_load
79.94,0.0,0.0,model_load
80.44,0.0,0.0,model_load
80.94,0.0,0.0,model_load
81.44,0.0,0.0,model_load
81.94,0.0,0.0,model_load
82.44,0.0,0.0,model_load
82.94,0.0,0.0,model_load
83.44,0.0,0.0,model_load
83.94,0.0,0.0,model_load
84.44,0.0,0.0,model_load
84.94,0.0,0.0,model_load
85.44,0.0,0.0,model_load
85.94,0.0,0.0,model_load
86.44,0.0,0.0,model_load
86.94,0.0,0.0,model_load
87.44,0.0,0.0,model_load
87.94,0.0,0.0,model_load
88.44,0.0,0.0,model_load
88.94,0.0,0.0,model_load
89.44,0.0,0.0,model_load
89.94,0.0,0.0,model_load
90.44,0.0,0.0,model_load
90.94,0.0,0.0,model_load
91.44,0.0,0.0,model_load
91.94,0.0,0.0,model_load
92.45,0.0,0.0,model_load
92.95,0.0,0.0,model_load
93.45,0.0,0.0,model_load
93.95,0.0,0.0,model_load
94.45,0.0,0.0,model_load
94.95,0.0,0.0,model_load
95.45,0.0,0.0,model_load
95.95,0.0,0.0,model_load
96.45,0.0,0.0,model_load
96.95,0.0,0.0,model_load
97.45,0.0,0.0,model_load
97.95,0.0,0.0,model_load
98.45,0.0,0.0,model_load
98.95,0.0,0.0,model_load
99.45,0.0,0.0,model_load
99.95,0.0,0.0,model_load
100.45,0.0,0.0,model_load
100.95,0.0,0.0,model_load
101.46,0.0,0.0,model_load
101.96,0.0,0.0,model_load
102.46,0.0,0.0,model_load
102.96,0.0,0.0,model_load
103.46,0.0,0.0,model_load
103.96,0.0,0.0,model_load
104.46,0.0,0.0,model_load
104.96,0.0,0.0,model_load
105.46,0.0,0.0,model_load
105.96,0.0,0.0,model_load
106.46,0.0,0.0,model_load
106.96,0.0,0.0,model_load
107.46,0.0,0.0,model_load
107.96,0.0,0.0,model_load
108.46,0.0,0.0,model_load
108.96,0.0,0.0,model_load
109.47,0.0,0.0,model_load
109.97,0.0,0.0,model_load
110.47,0.0,0.0,model_load
110.97,0.0,0.0,model_load
111.47,0.0,0.0,model_load
111.97,0.0,0.0,model_load
112.47,0.0,0.0,model_load
112.97,0.0,0.0,model_load
113.48,0.0,0.0,model_load
113.98,0.0,0.0,model_load
114.48,0.0,0.0,model_load
114.98,0.0,0.0,model_load
115.48,0.0,0.0,model_load
115.98,0.0,0.0,model_load
116.48,0.0,0.0,model_load
