time_s,allocated_gb,reserved_gb
0.0,0.0,0.0
0.52,0.0,0.0
1.02,0.013,0.025
1.52,0.438,0.478
2.05,0.056,0.122
2.55,0.017,0.042
3.05,0.017,0.042
3.55,0.017,0.042
4.05,0.017,0.042
4.56,0.017,0.042
5.06,0.017,0.042
5.56,0.017,0.042
6.06,0.017,0.042
6.56,0.017,0.042
7.06,0.017,0.042
7.56,0.017,0.042
8.06,0.017,0.042
8.56,0.017,0.042
9.06,0.017,0.042
9.56,0.017,0.042
10.06,0.017,0.042
10.56,0.017,0.042
11.06,0.017,0.042
11.56,0.017,0.042
12.06,0.017,0.042
12.57,0.517,0.543
13.07,0.017,0.042
13.57,0.017,0.042
14.07,0.017,0.042
14.57,0.017,0.042
15.07,0.017,0.042
15.58,0.017,0.042
16.08,0.017,0.042
16.58,0.017,0.042
17.09,0.017,0.042
17.59,0.017,0.042
18.09,0.017,0.042
18.59,0.017,0.042
19.09,0.017,0.042
19.59,0.017,0.042
20.09,0.017,0.042
20.59,0.017,0.042
21.09,0.017,0.042
21.59,0.017,0.042
22.09,0.017,0.042
22.59,0.017,0.042
23.09,0.017,0.042
23.59,0.017,0.042
24.09,1.017,1.042
24.59,0.017,0.042
25.09,0.017,0.042
25.59,0.017,0.042
26.09,0.017,0.042
26.59,0.017,0.042
27.09,0.017,0.042
27.59,0.017,0.042
28.09,0.017,0.042
28.59,0.017,0.042
29.09,0.017,0.042
29.59,0.017,0.042
30.1,0.017,0.042
30.6,0.017,0.042
31.1,0.017,0.042
31.6,0.017,0.042
32.1,0.017,0.042
32.6,0.017,0.042
33.1,0.017,0.042
33.6,0.017,0.042
34.1,0.017,0.042
34.6,0.017,0.042
35.1,0.017,0.042
35.6,0.017,0.042
36.1,0.017,0.042
36.6,0.017,0.042
37.1,0.017,0.042
37.6,0.017,0.042
38.1,0.017,0.042
38.6,0.017,0.042
39.1,0.017,0.042
39.6,0.017,0.042
40.1,0.017,0.042
40.61,0.017,0.042
41.11,0.017,0.042
41.61,0.017,0.042
42.11,0.017,0.042
42.61,0.017,0.042
43.11,0.017,0.042
43.61,0.017,0.042
44.11,0.017,0.042
44.61,0.017,0.042
45.11,0.017,0.042
45.61,0.017,0.042
46.11,0.017,0.042
46.61,0.017,0.042
47.11,2.018,2.043
47.61,2.018,2.043
48.12,0.017,0.042
48.62,0.017,0.042
49.12,0.017,0.042
49.62,0.017,0.042
50.12,0.017,0.042
50.62,0.017,0.042
51.13,0.017,0.042
51.63,0.017,0.042
52.13,0.017,0.042
52.63,0.017,0.042
53.13,0.017,0.042
53.63,0.017,0.042
54.13,0.017,0.042
54.63,0.017,0.042
55.13,0.017,0.042
55.63,0.017,0.042
56.13,0.017,0.042
56.63,0.017,0.042
57.13,0.017,0.042
57.63,0.017,0.042
58.13,0.017,0.042
58.63,0.017,0.042
59.13,0.017,0.042
59.63,0.017,0.042
60.13,0.017,0.042
60.63,0.017,0.042
61.13,0.017,0.042
61.63,0.017,0.042
62.13,0.017,0.042
62.63,0.017,0.042
63.14,0.017,0.042
63.64,0.017,0.042
64.14,0.017,0.042
64.64,0.017,0.042
65.14,0.017,0.042
65.64,0.017,0.042
66.14,0.017,0.042
66.64,0.017,0.042
67.14,0.017,0.042
67.64,0.017,0.042
68.14,0.017,0.042
68.64,0.017,0.042
69.14,0.017,0.042
69.64,0.017,0.042
70.15,0.017,0.042
70.65,0.017,0.042
71.15,0.017,0.042
71.65,0.017,0.042
72.16,0.017,0.042
72.66,0.017,0.042
73.16,0.017,0.042
73.66,0.017,0.042
74.16,0.017,0.042
74.66,0.017,0.042
75.17,0.017,0.042
75.67,0.017,0.042
76.17,0.017,0.042
76.67,0.017,0.042
77.17,0.017,0.042
77.67,0.017,0.042
78.17,0.017,0.042
78.67,0.017,0.042
79.17,0.017,0.042
79.67,0.017,0.042
80.17,0.017,0.042
80.67,0.017,0.042
81.18,0.017,0.042
81.68,0.017,0.042
82.18,0.017,0.042
82.68,0.017,0.042
83.18,0.017,0.042
83.68,0.017,0.042
84.18,0.017,0.042
84.68,0.017,0.042
85.18,0.017,0.042
85.68,0.017,0.042
86.18,0.017,0.042
86.68,0.017,0.042
87.18,0.017,0.042
87.68,0.017,0.042
88.18,0.017,0.042
88.68,0.017,0.042
89.18,0.017,0.042
89.68,0.017,0.042
90.19,0.017,0.042
90.71,0.017,0.042
91.21,4.017,4.043
91.71,4.017,4.043
92.22,4.017,4.043
92.72,4.017,4.043
93.22,4.017,4.043
