time_s,allocated_gb,reserved_gb
0.0,0.0,0.0
0.5,0.0,0.0
1.0,0.0,0.0
1.51,0.0,0.0
2.01,0.0,0.0
2.51,0.0,0.0
3.03,0.0,0.0
3.53,0.0,0.0
4.05,0.0,0.0
4.55,0.0,0.0
5.05,0.0,0.0
5.55,0.0,0.0
6.05,0.0,0.0
6.6,0.0,0.0
7.1,0.0,0.0
7.6,0.0,0.0
8.11,0.0,0.0
8.61,0.0,0.0
9.11,0.0,0.0
9.61,0.0,0.0
10.11,0.0,0.0
10.61,0.0,0.0
11.11,0.0,0.0
11.61,0.0,0.0
12.11,0.0,0.0
12.61,0.0,0.0
13.26,0.0,0.0
13.77,0.0,0.0
14.27,0.0,0.0
14.77,0.0,0.0
15.29,0.0,0.0
15.79,0.0,0.0
16.3,1.293,1.478
16.8,0.78,1.478
17.3,0.115,1.478
17.8,0.294,0.302
18.3,0.009,0.099
18.8,0.311,0.403
19.3,0.193,0.201
19.8,0.109,0.403
20.3,1.284,1.376
20.8,1.284,1.376
21.3,1.284,1.376
21.8,1.284,1.376
22.39,0.009,0.099
22.89,2.634,2.758
23.39,4.57,4.775
23.89,4.224,4.777
24.39,3.413,4.777
24.89,2.231,4.777
25.39,0.999,4.777
25.93,0.009,0.099
