time_s,allocated_gb,reserved_gb
0.001,0.0,0.0
0.052,0.0,0.0
0.103,0.0,0.0
0.153,0.0,0.0
0.204,0.0,0.0
0.255,0.0,0.0
0.306,0.0,0.0
0.357,0.0,0.0
0.408,0.0,0.0
0.459,0.0,0.0
0.51,0.0,0.0
0.561,0.0,0.0
0.612,0.0,0.0
0.663,0.0,0.0
0.714,0.0,0.0
0.765,0.0,0.0
0.816,0.0,0.0
0.867,0.0,0.0
0.918,0.0,0.0
0.969,0.0,0.0
1.021,0.0,0.0
1.072,0.0671,0.0671
1.123,0.0671,0.0671
1.174,0.0671,0.0671
1.241,0.0,0.0
1.292,0.0,0.0
1.342,0.0,0.0
1.393,0.0,0.0
1.444,0.0,0.0
1.495,0.0,0.0
1.546,0.0,0.0
1.597,0.0,0.0
1.647,0.0,0.0
1.697,0.0,0.0
1.748,0.0,0.0
1.799,0.0,0.0
1.85,0.0,0.0
1.9,0.0,0.0
1.951,0.0,0.0
2.002,0.0,0.0
2.052,0.0,0.0
2.103,0.0671,0.0671
2.153,0.0671,0.0671
2.204,0.0671,0.0671
2.254,0.0671,0.0671
2.305,0.0671,0.0671
2.355,0.0671,0.0671
2.426,0.0,0.0
2.476,0.0,0.0
2.527,0.0,0.0
2.578,0.0,0.0
2.629,0.0,0.0
2.68,0.0,0.0
2.731,0.0,0.0
2.782,0.0,0.0
2.833,0.0,0.0
2.883,0.0,0.0
2.934,0.0,0.0
2.985,0.0,0.0
3.036,0.0,0.0
3.086,0.0,0.0
3.137,0.0,0.0
3.188,0.0,0.0
3.239,0.0,0.0
3.289,0.0,0.0
3.34,0.0,0.0
3.391,0.0,0.0
3.442,0.0,0.0
3.493,0.0,0.0
3.543,0.0,0.0
3.593,0.0,0.0
3.644,0.0,0.0
3.694,0.0,0.0
3.744,0.0,0.0
3.795,0.0,0.0
3.845,0.0,0.0
3.895,0.0,0.0
3.946,0.0,0.0
3.996,0.0,0.0
4.046,0.0,0.0
4.096,0.0,0.0
4.149,0.0,0.0
4.199,0.1342,0.1342
4.249,0.1342,0.1342
4.3,0.1342,0.1342
4.35,0.1342,0.1342
4.4,0.1342,0.1342
4.451,0.1342,0.1342
4.501,0.1342,0.1342
4.551,0.0,0.0
4.602,0.0,0.0
4.652,0.0,0.0
4.702,0.0,0.0
4.753,0.0,0.0
4.803,0.0,0.0
4.853,0.0,0.0
4.904,0.0,0.0
4.954,0.0,0.0
5.005,0.0,0.0
5.055,0.0,0.0
5.105,0.0,0.0
5.156,0.0,0.0
5.206,0.0,0.0
5.256,0.0,0.0
5.307,0.0,0.0
5.357,0.0,0.0
5.408,0.0,0.0
5.458,0.0,0.0
5.508,0.0,0.0
5.558,0.0,0.0
5.609,0.0,0.0
5.659,0.0,0.0
5.71,0.0,0.0
5.76,0.0,0.0
5.81,0.0,0.0
5.861,0.0,0.0
5.911,0.0,0.0
5.961,0.0,0.0
6.012,0.0,0.0
6.062,0.0,0.0
6.112,0.0,0.0
6.163,0.0,0.0
6.213,0.1342,0.1342
6.264,0.1342,0.1342
6.314,0.1342,0.1342
6.364,0.1342,0.1342
6.415,0.1342,0.1342
6.465,0.1342,0.1342
6.515,0.1342,0.1342
6.566,0.1342,0.1342
6.616,0.1342,0.1342
6.666,0.1342,0.1342
6.717,0.1342,0.1342
6.767,0.1342,0.1342
6.818,0.1342,0.1342
6.868,0.0,0.0
6.918,0.0,0.0
6.969,0.0,0.0
7.019,0.0,0.0
7.069,0.0,0.0
7.119,0.0,0.0
7.17,0.0,0.0
7.22,0.0,0.0
7.27,0.0,0.0
7.321,0.0,0.0
7.371,0.0,0.0
7.421,0.0,0.0
7.472,0.0,0.0
7.522,0.0,0.0
7.572,0.0,0.0
7.623,0.0,0.0
7.674,0.0,0.0
7.725,0.0,0.0
7.776,0.0,0.0
7.827,0.0,0.0
7.878,0.0,0.0
7.929,0.0,0.0
7.979,0.0,0.0
8.03,0.0,0.0
8.081,0.0,0.0
8.132,0.0,0.0
8.183,0.0,0.0
8.234,0.0,0.0
8.285,0.0,0.0
8.335,0.0,0.0
8.386,0.0,0.0
8.436,0.0,0.0
8.486,0.0,0.0
8.537,0.0,0.0
8.588,0.0,0.0
8.639,0.0,0.0
8.689,0.0,0.0
8.74,0.0,0.0
8.79,0.0,0.0
8.841,0.0,0.0
8.892,0.0,0.0
8.943,0.0,0.0
8.993,0.0,0.0
9.044,0.0,0.0
9.095,0.0,0.0
9.146,0.0,0.0
9.196,0.0,0.0
9.247,0.0,0.0
9.298,0.0,0.0
9.349,0.0,0.0
9.4,0.0,0.0
9.451,0.0,0.0
9.501,0.0,0.0
9.552,0.0,0.0
9.602,0.0,0.0
9.654,0.0,0.0
9.704,0.0,0.0
9.755,0.0,0.0
9.805,0.0,0.0
9.856,0.0,0.0
9.907,0.0,0.0
9.958,0.0,0.0
10.008,0.0,0.0
10.059,0.0,0.0
10.11,0.0,0.0
10.161,0.0,0.0
10.212,0.0,0.0
10.263,0.0,0.0
10.313,0.0,0.0
10.364,0.2684,0.2684
10.414,0.2684,0.2684
