time_ms,allocated_mb,reserved_mb
0.5,0.0,1000.34
10.9,268.44,1000.34
21.3,268.44,1000.34
31.7,268.44,1000.34
42.0,268.44,1000.34
52.4,268.44,1000.34
62.9,268.44,1000.34
73.4,536.87,1000.34
83.7,536.87,1000.34
94.1,536.87,1000.34
104.5,536.87,1000.34
114.8,805.31,1000.34
125.2,805.31,1000.34
135.5,805.31,1000.34
146.1,805.31,1000.34
156.4,805.31,1000.34
166.7,805.31,1000.34
177.1,805.31,1000.34
187.4,536.87,1000.34
197.8,536.87,1000.34
208.2,536.87,1000.34
218.5,536.87,1000.34
228.8,536.87,1000.34
239.4,536.87,1000.34
249.8,536.87,1000.34
335.0,0.0,0.0
347.2,805.31,805.31
357.6,536.87,805.31
392.3,0.0,0.0
403.7,805.31,805.31
414.1,536.87,805.31
424.4,268.44,268.44
434.7,536.87,805.31
447.5,0.0,0.0
459.4,805.31,805.31
469.7,536.87,805.31
480.1,268.44,268.44
490.4,536.87,805.31
501.8,0.0,0.0
513.0,805.31,805.31
523.4,536.87,805.31
533.7,268.44,268.44
544.0,536.87,805.31
556.0,0.0,0.0
567.9,805.31,805.31
578.3,536.87,805.31
588.6,268.44,268.44
598.9,536.87,805.31
610.2,0.0,0.0
620.6,0.0,0.0
631.1,0.0,0.0
641.6,0.0,0.0
652.0,0.0,0.0
662.5,0.0,0.0
673.0,0.0,0.0
683.8,0.0,0.0
694.2,0.0,0.0
704.7,0.0,0.0
715.2,0.0,0.0
725.9,0.0,0.0
737.0,0.0,0.0
748.3,0.0,0.0
758.6,0.0,0.0
769.0,0.0,0.0
779.5,0.0,0.0
790.2,0.0,0.0
800.6,0.0,0.0
811.0,0.0,0.0
821.4,0.0,0.0
831.9,0.0,0.0
842.4,0.0,0.0
852.8,0.0,0.0
863.2,0.0,0.0
873.7,0.0,0.0
884.1,0.0,0.0
894.4,0.0,0.0
905.0,0.0,0.0
915.4,0.0,0.0
925.7,0.0,0.0
936.1,0.0,0.0
946.6,0.0,0.0
956.9,0.0,0.0
967.3,0.0,0.0
978.9,0.0,0.0
990.5,0.0,0.0
1002.0,0.0,0.0
1013.3,0.0,0.0
1026.7,0.0,0.0
1038.1,0.0,0.0
1049.4,0.0,0.0
1060.6,0.0,0.0
1072.1,0.0,0.0
1082.5,0.0,0.0
1092.9,0.0,0.0
1103.2,0.0,0.0
1113.7,536.87,536.87
1124.1,536.87,536.87
1134.4,1073.74,1073.74
1147.2,1610.61,1610.61
1157.6,1610.61,1610.61
1168.0,2147.48,2147.48
1180.9,2684.35,2684.35
1191.3,2684.35,2684.35
1202.0,3221.23,3221.23
1214.1,3758.1,3758.1
1224.5,3758.1,3758.1
1234.9,4294.97,4294.97
1246.4,4831.84,4831.84
1256.9,4831.84,4831.84
1267.3,5368.71,5368.71
1277.6,5368.71,5368.71
1288.1,5368.71,5368.71
1299.3,5368.71,5368.71
1310.7,5368.71,5368.71
1322.2,5368.71,5368.71
1333.5,5368.71,5368.71
1344.7,5368.71,5368.71
1356.1,5368.71,5368.71
1367.4,5368.71,5368.71
1380.4,5368.71,5368.71
1391.8,5368.71,5368.71
1403.0,5368.71,5368.71
1414.5,5368.71,5368.71
1426.0,5368.71,5368.71
1437.4,5368.71,5368.71
1448.7,5368.71,5368.71
1460.2,5368.71,5368.71
1471.6,5368.71,5368.71
1482.4,5368.71,5368.71
1492.9,5368.71,5368.71
1503.7,5368.71,5368.71
1514.0,5368.71,5368.71
1524.4,5368.71,5368.71
1534.9,5368.71,5368.71
1545.2,5368.71,5368.71
1555.7,5368.71,5368.71
1566.1,5368.71,5368.71
1576.5,5368.71,5368.71
1587.0,5368.71,5368.71
1597.6,5368.71,5368.71
1608.4,5368.71,5368.71
1621.4,5368.71,5368.71
1632.7,5368.71,5368.71
1644.1,5368.71,5368.71
1655.4,5368.71,5368.71
1666.7,5368.71,5368.71
1678.2,5368.71,5368.71
1689.4,5368.71,5368.71
1701.0,5368.71,5368.71
1712.2,5368.71,5368.71
1723.5,5368.71,5368.71
1734.2,5368.71,5368.71
1744.6,5368.71,5368.71
1754.9,5368.71,5368.71
1765.3,5368.71,5368.71
1775.6,5368.71,5368.71
1786.0,5372.9,5389.68
1796.5,5372.9,5389.68
1806.8,5381.29,5389.68
1817.3,5381.29,5389.68
1827.7,5389.81,5410.65
1838.0,5389.81,5410.65
1848.8,5389.81,5410.65
1859.2,5389.81,5410.65
1869.6,5389.81,5410.65
1880.1,5389.81,5410.65
1890.5,5389.81,5410.65
1921.9,545.39,557.84
1949.8,545.39,557.84
1960.3,545.39,557.84
1970.7,545.39,557.84
1981.1,545.39,557.84
1992.4,545.39,557.84
2003.8,545.39,557.84
2015.1,545.39,557.84
2027.2,545.39,557.84
2038.7,545.39,557.84
2050.4,545.39,557.84
2062.0,545.39,557.84
2073.0,545.39,557.84
2083.6,545.39,557.84
2094.1,545.39,557.84
2104.6,545.39,557.84
2115.0,545.39,557.84
2125.3,545.39,557.84
2135.7,545.39,557.84
2146.0,545.39,557.84
2156.3,545.39,557.84
2166.7,545.39,557.84
2177.0,545.39,557.84
2187.4,545.39,557.84
2198.0,545.39,557.84
2208.4,545.39,557.84
2219.3,545.39,557.84
2230.3,545.39,557.84
2241.4,545.39,557.84
2252.7,545.39,557.84
2264.0,545.39,557.84
2275.2,545.39,557.84
